f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
104,53;0,008;0,069;0,078;0,002;0,012;0,013;0,156;0,168;1,56;0,008;0,02;0,0;0,028;0,105;0,272;0,033;0,193;0,072;0,031
0,028;0,009;0,01;0,084;0,813;0,011;0,08;0,047;0,189;0,001;0,024;0,032;0,057;0,079;0,0;0,013;0,016;0,085;0,101;0,001
0,571;0,01;0,517;0,074;0,141;0,068;0,019;0,106;0,173;0,177;0,0;0,019;0,0;0,01;0,001;0,01;0,028;0,022;0,068;0,07
1,498;0,009;0,079;0,093;0,011;0,011;0,065;0,078;0,285;0,013;0,009;0,024;0,001;0,012;6400,052;0,008;0,033;0,058;0,1;0,028
0,019;0,009;0,198;0,135;0,001;0,008;0,014;0,143;0,255;0,116;19,756;0,026;0,013;0,526;0,13;0,011;0,025;0,041;0,173;0,309
0,011;0,01;0,171;0,095;0,117;0,009;0,073;0,061;0,864;0,014;0,003;0,039;0,004;0,03;1,37;0,02;0,028;0,021;0,069;1,06
0,011;97,014;0,206;0,118;0,095;0,012;0,012;0,171;0,743;1,438;0,036;0,04;0,024;10,271;0,001;0,011;0,025;0,028;0,065;0,004
0,019;0,013;0,051;0,08;0,266;0,053;0,044;0,138;0,265;0,041;0,04;15,384;0,011;0,542;12808,872;0,009;0,81;0,075;0,068;0,016
0,017;0,013;0,043;0,117;0,001;0,016;0,013;0,537;0,126;0,277;0,001;0,001;0,03;0,087;0,191;0,033;0,014;0,71;0,473;0,333
0,009;0,006;0,025;0,112;0,138;0,01;0,007;0,137;0,152;5015,135;0,012;0,027;0,0;0,0;0,332;0,017;0,011;0,397;0,218;3,794
0,009;0,006;0,018;0,102;0,109;0,01;0,007;0,204;0,126;0,015;0,034;0,01;0,015;0,001;0,065;0,027;0,01;0,037;0,112;0,162
0,009;0,006;0,075;0,09;0,236;0,01;0,007;0,071;0,131;0,002;0,001;0,038;0,005;0,037;1,456;0,043;0,009;0,244;0,101;0,001
0,009;0,008;0,078;0,166;4,904;0,012;0,009;0,088;0,465;1,372;0,012;0,001;0,015;0,017;0,134;0,013;0,009;0,428;0,096;0,018
0,008;0,009;0,065;0,269;0,648;0,031;0,012;0,226;0,225;1,987;0,035;2,742;0,005;6,271;0,515;0,009;0,01;0,183;0,095;0,34
0,009;0,009;0,05;0,098;0,592;0,272;0,009;0,107;0,136;0,001;0,002;0,022;0,206;0,023;0,047;0,01;0,01;0,113;0,13;2,346
0,01;0,008;0,204;0,117;1,711;0,015;0,01;0,05;0,115;0,001;0,166;0,039;0,001;0,115;0,351;0,009;0,009;0,131;0,106;0,001
0,01;0,008;0,048;0,099;0,001;0,05;0,011;0,051;0,091;0,331;0,017;0,073;0,0;0,0;0,021;0,008;0,01;0,364;0,109;0,139
0,009;0,009;0,055;0,082;0,001;0,064;0,01;0,043;0,092;2,059;63,953;0,034;0,001;0,001;0,427;0,029;0,01;0,275;0,114;0,048
0,01;0,009;0,084;0,084;0,085;0,037;0,016;0,093;0,13;0,645;0,004;0,0;0,0;0,0;0,147;0,021;0,01;0,053;0,114;0,148
0,009;0,009;0,503;0,084;0,031;0,015;0,027;0,104;0,084;0,157;102,228;0,015;0,0;0,001;0,387;0,033;0,008;0,201;0,118;0,093
0,01;0,009;0,046;0,073;0,029;0,081;0,024;0,059;0,088;0,264;0,002;0,035;0,001;0,0;0,019;0,013;0,011;0,228;0,109;0,078
0,01;0,008;0,036;0,08;0,086;0,015;0,013;0,129;0,082;0,286;0,07;0,001;0,022;0,001;0,452;0,01;0,01;0,114;0,118;0,107
0,011;0,009;0,071;0,095;0,011;0,107;0,01;0,05;0,087;0,002;4,618;0,01;1,048;0,032;0,008;0,01;0,009;0,534;0,145;0,076
0,024;0,008;0,054;0,09;0,035;0,02;0,009;0,131;0,124;0,185;0,001;0,033;0,005;0,016;1122,557;0,019;0,014;0,232;0,097;0,163
0,013;0,008;0,033;0,071;0,039;0,019;0,01;0,088;0,09;0,154;0,0;0,107;0,012;0,014;0,001;0,029;0,027;0,176;0,118;0,066
0,009;0,009;0,041;0,079;0,077;0,062;0,009;0,086;0,079;0,073;3,718;0,002;0,011;0,017;0,034;0,025;0,009;0,097;0,123;0,333
0,031;0,01;0,004;0,068;0,034;0,017;0,01;0,12;0,085;0,059;0,003;0,0;2,375;7,057;0,001;0,027;0,007;0,041;0,109;0,133
0,027;0,009;0,055;0,078;0,081;0,025;0,009;0,078;0,083;0,712;0,271;0,027;0,033;0,0;6403,0;0,073;0,02;1,059;0,104;0,098
0,037;0,009;0,058;0,115;0,088;0,064;0,008;0,047;0,111;0,184;0,044;0,037;0,026;1,141;0,052;0,012;0,01;0,006;0,115;10,388
0,012;0,034;0,084;0,081;0,113;0,029;0,01;0,054;0,088;0,001;0,012;0,001;0,018;0,142;0,097;0,009;0,012;0,732;0,145;1,273
0,01;0,013;0,045;0,086;0,155;0,037;0,009;0,081;0,129;0,111;0,098;1,184;0,016;0,075;0,352;0,01;0,009;3,035;0,091;5,102
0,011;0,009;0,018;0,113;0,06;0,055;0,009;0,27;0,094;0,195;0,012;0,008;0,019;0,0;12808,188;0,79;0,009;0,343;0,104;0,284
0,022;0,015;0,024;1,269;5018,474;0,017;0,017;0,086;0,117;0,141;0,023;0,001;0,001;0,037;0,073;0,044;0,016;0,002;0,188;0,245
0,01;0,007;0,016;0,165;0,005;0,01;0,009;0,123;2,016;0,015;0,011;0,058;0,0;0,056;0,441;0,012;0,009;0,528;0,113;0,113
0,011;0,007;0,082;0,111;0,045;0,009;0,009;0,651;0,234;0,136;0,027;12,58;0,023;0,01;3,97;0,01;0,011;0,182;0,107;0,247
0,009;0,007;0,054;0,109;0,002;0,01;0,009;0,099;0,164;5004,546;0,296;0,002;0,005;0,061;0,167;0,009;0,011;0,145;0,082;0,116
0,01;0,008;0,018;0,168;0,002;0,031;0,008;0,703;0,128;0,001;0,001;0,083;0,022;0,001;0,729;0,009;0,009;0,119;0,071;0,08
0,009;0,011;0,035;0,164;0,001;0,013;0,009;0,774;0,097;0,001;0,001;0,001;0,406;0,013;0,119;0,01;0,01;0,085;0,104;5010,758
0,009;0,009;0,047;0,107;1,62;0,009;0,009;0,293;0,12;0,121;0,003;0,001;1,121;0,049;0,45;0,009;0,009;0,099;0,088;0,001
0,01;0,01;0,045;0,124;0,065;0,01;0,009;0,232;0,126;0,013;0,0;0,001;0,026;0,0;0,051;0,009;0,026;0,089;0,072;0,585
0,009;0,009;0,007;0,091;0,083;0,009;0,009;0,452;0,095;0,033;0,001;0,044;0,025;0,012;3,453;0,008;0,016;0,113;0,097;0,0
0,011;0,009;0,085;0,114;0,032;0,009;0,008;0,453;0,086;0,041;0,0;0,001;0,001;0,205;0,079;0,011;0,011;0,163;0,291;0,054
